riu_id,name,workstream,trigger_signals,intervention_pattern,agents,artifacts,success_outcome,success_quality,success_safety,reversibility,maturity
RIU-001,Engagement Intake + Convergence Brief,Clarify & Bound,new engagement; unclear scope; paid commitment; stakeholder misalignment,"Run a structured intake to converge on: user, jobs-to-be-done, constraints, success definition, and explicit non-goals. Produce a single-page Convergence Brief used as the engagement source of truth.","Architecture: Draft Convergence Brief with explicit assumptions and non-goals; Search/Research: Collect prior art + internal references relevant to customer domain; Validator/Safety: Check for missing constraints, one-way doors, and unbounded commitments",convergence_brief.md; risk_register.md; decision_log.md,Stakeholders align on what 'done' means,No unowned requirements; all constraints captured,One-way-door decisions explicitly flagged,Two-way door (document only),WORKING
RIU-002,Stakeholder Map + Communication Cadence,Adoption (Non-Technical),multiple stakeholders; slow approvals; cross-functional dependencies,"Create stakeholder map (deciders/influencers/approvers), RACI-lite, and a cadence (weekly demo + async updates).","Search/Research: Identify org/roles and prior communications templates; Architecture: Define cadence + escalation paths; Implementation: Set up lightweight tooling (docs, tracker, templates)",stakeholder_map.md; cadence_plan.md; status_update_template.md,Faster decisions; fewer surprises,Clear owners for approvals,Escalation path defined for blocking issues,Two-way door,WORKING
RIU-003,Problem → Task Decomposition (RIU Mapping),Clarify & Bound,complex system; multiple deliverables; uncertain path,Decompose the engagement into Workstreams and select an initial set of RIUs (materials/tools). Identify gaps where no RIU exists and create Candidate RIUs.,Architecture: Produce decomposition + initial RIU set; Search/Research: Locate similar past engagements/RIUs; Validator/Safety: Ensure each RIU has success metrics and reversibility classification,workstream_plan.yaml; riu_selection.json; candidate_riu_log.md,Clear executable plan with multiple RIUs,Every task mapped to at least one RIU or flagged as gap,One-way doors isolated early,Two-way door,UNVALIDATED
RIU-010,Data Contract Freeze,Interface & Inputs,unknown schema; multiple sources; PII concerns; integration blocks,"Extract schemas, access paths, SLAs, PII handling, and sample payloads into a single versioned data_contract.yaml with examples and validation rules.",Search/Research: Gather existing schema docs and sample payloads; Implementation: Generate contract + validators; Validator/Safety: Check PII risks and completeness,data_contract.yaml; sample_payloads/; validators/,Integration unblocked; shared understanding of inputs/outputs,Contract validated against samples,PII handling documented and reviewed,One-way door if external interface is promised; otherwise two-way,WORKING
RIU-011,Access + Permissions Readiness,Interface & Inputs,blocked access; missing credentials; security review,"Create an access checklist (accounts, tokens, roles, network), validate least-privilege paths, and confirm data movement boundaries.",Architecture: Define access requirements + boundary diagram; Validator/Safety: Ensure least-privilege + logging expectations; Implementation: Test access programmatically (read-only where possible),access_checklist.md; boundary_diagram.md; access_smoketests/,No access-related delays,All access documented and reproducible,Least-privilege confirmed,Two-way door,WORKING
RIU-012,PII/Compliance Triage,Quality & Safety,PII; HIPAA; PCI; SOC2; GDPR; regulated industry,"Classify data sensitivity, define redaction/minimization, establish audit log requirements, and create an allowlist of safe processing operations.",Validator/Safety: Produce compliance triage report + controls; Architecture: Define safe patterns + data minimization; Search/Research: Collect customer policy references,compliance_triage.md; data_minimization_plan.md; audit_logging_requirements.md,Compliance sign-off path is clear,Controls are explicit and implementable,No processing of disallowed fields,One-way door when commitments are made,WORKING
RIU-020,Retrieval Baseline + Evaluation Harness,Quality & Safety,RAG; search quality issues; no baseline metrics,"Define golden queries, expected doc families, and implement offline eval (precision@k, MRR, coverage) plus regression checks.",Evaluator: Create golden set + evaluation runner; Implementation: Implement metrics + reports; Validator/Safety: Ensure tests gate deployments,golden_queries.jsonl; eval_runner/; eval_reports/,Search quality measurable,Regression tests prevent silent degradation,Ship decisions tied to eval results,Two-way door,UNVALIDATED
RIU-021,Sidecar Intelligence Artifact (Read-Only Augmentation),Core Logic,need rerank; need explainability; cannot change KB,"Write per-doc sidecar JSON with canonical coordinates, freshness class, computed signals, embedding ref, and reason codes. Never modifies source docs.",Architecture: Define minimal sidecar schema + contracts; Implementation: Implement sidecar writer + reader library; Validator/Safety: Schema validation + rollback plan,sidecar_schema.json; sidecar_writer/; sidecar_reader/; feature_flags.md,Optional rerank/explain works without KB changes,Sidecars are idempotent and versioned,Rollback = ignore sidecars,Two-way door (unless external consumers depend on sidecars),UNVALIDATED
RIU-022,Freshness / Staleness Guardrails,Quality & Safety,publication lag; stale recommendations; silent removals,"Implement deterministic freshness classes (Fresh/Aging/Stale/Orphaned), downrank rules, and orphan detection using snapshot last-seen timestamps.",Architecture: Define rules + thresholds; Implementation: Implement guardrails + tests; Evaluator: Add staleness cases to golden set,freshness_rules.yaml; staleness_tests/; orphan_detector/,Reduced stale hits; predictable behavior,Staleness tests pass in CI,Orphaned docs never surfaced,Two-way door,UNVALIDATED
RIU-023,Similarity: 'Seen This Before' Exemplars,Core Logic,need precedents; customer asks 'similar'; reduce cognitive load,Hybrid similarity: enum overlap + embeddings. Produce top neighbors with reason codes; avoid LLM prose by default.,Embedding/Similarity: Build embeddings + ANN index; Implementation: Serve neighbors + reason codes; Validator/Safety: Ensure neighbors have explainable reasons,embeddings_index/; similarity_service/; reason_codes.md,Users find relevant precedents faster,Neighbors stable under no-change conditions,Explainability prevents black-box behavior,Two-way door,UNVALIDATED
RIU-030,Integration Adapter (API/Webhook/Connector),Ops & Delivery,needs integration; webhook; API; events,"Choose integration mode (API pull, webhook push, batch), define contract, implement adapter with retries, idempotency, and observability.",Architecture: Select integration mode + tradeoffs; Implementation: Build adapter + retries/idempotency; Debugging: Resolve failures under load,integration_spec.md; adapter_service/; retries_idempotency.md,Reliable data flow between systems,Handles retries + duplicates,One-way door flagged if external contract is published,One-way door if external interface committed,WORKING
RIU-031,Feature Flags + Rollback Plan,Ops & Delivery,new behavior; risk of regression; pilot rollout,Implement feature flags for new capabilities; define rollback path; create staged rollout plan by segment.,Architecture: Define flag strategy + rollout gates; Implementation: Implement flags + kill switch; Evaluator: Define regression gates,flags.yaml; rollout_plan.md; kill_switch.md,Safe deployment with controlled exposure,Rollback tested,One-way doors isolated behind flags,Two-way door,WORKING
RIU-040,Sales Narrative + 'No-Lie' Capability Statement,Adoption (Non-Technical),rebrand; customers paid; scope ambiguity; risk of overpromise,"Write a truthful capability statement: what exists, what is in pilot, what is out of scope; include examples and caveats; align with support readiness.",Architecture: Define truthful boundaries + non-goals; Search/Research: Collect relevant customer language + precedents; Validator/Safety: Check for implicit commitments and one-way doors,capability_statement.md; faq_internal.md; talk_track.md,Sales can message without overpromising,Support can defend claims,No accidental external commitments,Two-way door (until published externally),WORKING
RIU-041,Customer Workshop: Problem Framing Session,Clarify & Bound,customer unclear; multiple asks; needs alignment,"Run a 60–90 minute workshop to produce: problem statement, constraints, success metrics, and prioritized tasks mapped to RIUs.",Architecture: Facilitate workshop + produce outputs; Search/Research: Prepare domain examples and questions; Validator/Safety: Identify one-way doors and hidden requirements,workshop_agenda.md; workshop_outputs.md; riu_map_after_workshop.yaml,Aligned scope + prioritized plan,Tasks mapped to RIUs,No hidden requirements remain implicit,Two-way door,WORKING
RIU-050,Taxonomy Drift Capture (Candidate Rows),Quality & Safety,new terms; no matching RIU; novel problem,"When no RIU fits, create Candidate RIU with: triggers, pattern, artifacts, validation. Track repeated occurrences and promote only after success + review.",Architecture: Draft candidate RIU row; Validator/Safety: Ensure bounded scope and reversibility; Search/Research: Find prior art / analogous RIUs,candidate_riu.yaml; promotion_rules.md; drift_report_weekly.md,Taxonomy expands safely,Candidates promoted only after evidence,No auto-promotion to canonical without governance,Two-way door,UNVALIDATED
